BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,BOOSTINA ,BOOSTINA ,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,, 90.00 , 100.00 ,,AGRICONS,, 1 ,
,BIO 800,BIO 800,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,, 50.60 , 54.00 ,,AGRICONS,, 29 ,
,B-100,B-100,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,," 1,710.00 "," 1,790.00 ",,AGRICONS,,,
,B-100,B-100,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,, 34.20 , 37.00 ,,AGRICONS,,,
,B-200,B-200,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,," 1,653.00 "," 1,735.00 ",,AGRICONS,, 2 ,
,B-200,B-200,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,, 33.06 , 36.00 ,,AGRICONS,, 23 ,
,B-300,B-300,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,," 1,610.00 "," 1,690.00 ",,AGRICONS,, 4 ,
,B-300,B-300,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,PURINA,, 32.20 , 35.50 ,,AGRICONS,, 49 ,
,HPSP/P-BMEG,PRE STARTER,PREMIUM,,25 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,077.00 "," 1,160.00 ",,JHK,, 1 ,
,HPSP/P-BMEG,PRE STARTER,PREMIUM,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 43.08 , 48.00 ,,JHK,, 27 ,
,HSP/P-BMEG,HOG STARTER PELLETS,PREMIUM,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,315.00 "," 1,415.00 ",,JHK,, 4 ,
,HSP/P-BMEG,HOG STARTER PELLETS,PREMIUM,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 26.30 , 30.50 ,,JHK,, 38 ,
,HGP/P-BMEG,HOG GROWER PELLETS,PREMIUM,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,229.00 "," 1,320.00 ",,JHK,, 3 ,
,HGP/P-BMEG,HOG GROWER PELLETS,PREMIUM,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 24.58 , 28.50 ,,JHK,, 4 ,
,PIGEON-BMEG,PIGEON PELLETS,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,098.00 "," 1,180.00 ",,JHK,, 5 ,
,PIGEON-BMEG,PIGEON PELLETS,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 21.96 , 25.00 ,,JHK,, 43 ,
,INT 1K-BMEG,INTEGRA 1000,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,443.00 "," 1,510.00 ",,JHK,, 4 ,
,INT 1K-BMEG,INTEGRA 1000,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 28.86 , 32.00 ,,JHK,, 52 ,
,INT 2K-BMEG,INTEGRA 2000,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,378.00 "," 1,445.00 ",,JHK,, 11 ,
,INT 2K-BMEG,INTEGRA 2000,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 27.56 , 31.00 ,,JHK,, 46 ,
,INT 3K-BMEG,INTEGRA 3000,,,50 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,," 1,318.00 "," 1,385.00 ",,JHK,, 4 ,
,INT 3K-BMEG,INTEGRA 3000,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 26.36 , 29.50 ,,JHK,, 50 ,
,FFM1-BMEG,FRY MASH 1,,,25 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 744.00 , 780.00 ,,JHK,, 2 ,
,FFM1-BMEG,FRY MASH 1,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 29.76 , 33.00 ,,JHK,, 22 ,
,FFM2-BMEG,FRY MASH 2,,,25 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 739.00 , 775.00 ,,JHK,,,
,FFM2-BMEG,FRY MASH 2,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 29.56 , 32.50 ,,JHK,,,
,NFJP-BMEG,NUTRIFLOAT JUVENILE FLOATING PELLETS,,,25 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 734.00 , 770.00 ,,JHK,,,
,NFJP-BMEG,NUTRIFLOAT JUVENILE FLOATING PELLETS,,,KG.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 29.36 , 33.00 ,,JHK,,,
,NFAP-BMEG,NUTRIFLOAT ADULT FLOATING PELLETS,,,25 KGS.,POULRTY SUPPLY,FEEDS-GENERAL,BMEG,, 709.00 , 745.00 ,,JHK,,,
